28
0	35	25	0.0	0	0	0	1.7	0.0	0.0	0	2	KNIFE
1	15	180	0.22	20	7	2000	1.3	4.5	0.0	200	1	9x19mmSidearm
2	15	180	0.22	20	7	2000	1.3	4.5	0.0	200	1	KM.45Tactical
3	25	150	0.24	15	4	2500	1.5	5.0	0.0	400	1	228Compact
4	35	250	0.26	7	6	1500	1.5	6.0	0.0	600	1	NightHawk.50c
5	20	150	0.28	30	5	2500	1.3	4.5	0.0	800	1	Five-Seven
6	20	150	0.28	30	5	2500	1.3	4.5	0.0	800	1	Dual-Elites
7	15	1100	0.20	8	5	4500	1.1	5.5	0.0	2000	0	12GaugeSuper
8	10	250	0.20	7	5	3500	1.1	5.0	0.0	3000	0	YGAutoShotgun
9	20	85	0.25	30	5	1200	1.5	5.5	0.0	1200	0	MachinePistol
10	20	85	0.25	30	5	1200	1.5	5.5	0.0	1200	0	IngramMac-10
11	25	84	0.20	30	5	2000	1.3	5.0	0.0	1400	0	Km-SubM.Gun
12	30	90	0.25	25	5	2500	1.3	5.0	0.0	1800	0	Km-UMP45
13	15	80	0.20	50	3	2500	1.2	5.5	0.0	2000	0	ESc90
14	25	83	0.26	35	4	2500	1.2	5.0	0.0	2500	0	Clarion5.56
15	25	83	0.26	35	4	2500	1.2	5.0	0.0	2500	0	IdfDefender
16	80	1225	0.16	10	10	2000	1.8	6.0	0.05	2500	0	SchmidtScout
17	30	84	0.22	30	4	2000	1.2	5.0	0.0	3000	0	M4A1Carbine
18	30	84	0.22	30	4	2000	1.2	5.0	0.0	3000	0	CV-47
19	33	82	0.19	30	4	2500	1.1	5.5	0.0	4000	0	Bullpup
20	33	82	0.19	30	4	2500	1.1	5.5	0.0	4000	0	Krieg-552
21	38	265	0.20	20	6	3500	1.3	5.5	0.15	3500	0	KriegCommando
22	38	265	0.20	20	6	3500	1.3	5.5	0.15	3500	0	D3_AU-1
23	100	1500	0.25	10	5	2500	1.1	6.0	0.05	4500	0	MagnumS.Rifle
24	10	84	0.30	100	3	4000	1.0	5.5	0.0	5000	0	M249
25	0	1000	0.0	1	1	0	1.5	0.0	0.0	600	3	Flashbang
26	90	1000	0.0	1	1	0	1.5	0.0	0.0	900	3	Grenade
27	0	1000	0.0	1	1	0	1.5	0.0	0.0	600	3	Smoke-Grenade




quad	damage	delay	spread	clip	#ofclip	redelay	wlspeed	buspeed	vangle	money	type	name
